service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
245066_115485,1,1,1,1,1,1,1,20240330,20240426
245066_115486,1,1,1,1,1,1,1,20240930,20241214
245066_115487,1,1,1,1,1,1,1,20240427,20240608
245066_115488,1,1,1,1,1,1,1,20240609,20240929
245066_115490,1,1,1,1,1,1,1,20240330,20241214
245066_115492,1,1,1,1,1,1,1,20240330,20240426
245066_115493,1,1,1,1,1,1,1,20240422,20240425
245066_115494,1,1,1,1,1,1,1,20240930,20241214
245066_115495,1,1,1,1,1,1,1,20240609,20240929
245066_115497,1,1,1,1,1,1,1,20240330,20240421
245066_115498,1,1,1,1,1,1,1,20240513,20240517
245066_115499,1,1,1,1,1,1,1,20240605,20240608
245066_115500,1,1,1,1,1,1,1,20240609,20241214
245066_115502,1,1,1,1,1,1,1,20240330,20240426
245066_115503,1,1,1,1,1,1,1,20240930,20241214
245066_115504,1,1,1,1,1,1,1,20240427,20240608
245066_115505,1,1,1,1,1,1,1,20240513,20240517
245066_115506,1,1,1,1,1,1,1,20240609,20240929
245066_115508,1,1,1,1,1,1,1,20240330,20241214
245066_115510,1,1,1,1,1,1,1,20240330,20240426
245066_115511,1,1,1,1,1,1,1,20240930,20241214
245066_115512,1,1,1,1,1,1,1,20240427,20240608
245066_115513,1,1,1,1,1,1,1,20240609,20240929
245066_115514,1,1,1,1,1,1,1,20240427,20240608
245066_115515,1,1,1,1,1,1,1,20240506,20240510
245066_115516,1,1,1,1,1,1,1,20240513,20240517
245066_115517,1,1,1,1,1,1,1,20240422,20240604
245066_115952,1,1,1,1,1,1,1,20240330,20240608
245066_115953,1,1,1,1,1,1,1,20240507,20240510
245066_115954,1,1,1,1,1,1,1,20240609,20241214
245066_115956,1,1,1,1,1,1,1,20240330,20240426
245066_115957,1,1,1,1,1,1,1,20240930,20241214
245066_115958,1,1,1,1,1,1,1,20240427,20240608
245066_115959,1,1,1,1,1,1,1,20240506,20240510
245066_115960,1,1,1,1,1,1,1,20240609,20240929
245066_115962,1,1,1,1,1,1,1,20240330,20240421
245066_115963,1,1,1,1,1,1,1,20240513,20240517
245066_115964,1,1,1,1,1,1,1,20240605,20240608
245066_115965,1,1,1,1,1,1,1,20240609,20241214
245066_115966,1,1,1,1,1,1,1,20240422,20240604
245066_115968,1,1,1,1,1,1,1,20240330,20240426
245066_115969,1,1,1,1,1,1,1,20240930,20241214
245066_115970,1,1,1,1,1,1,1,20240427,20240608
245066_115971,1,1,1,1,1,1,1,20240506,20240510
245066_115972,1,1,1,1,1,1,1,20240513,20240517
245066_115973,1,1,1,1,1,1,1,20240609,20240929
245066_115975,1,1,1,1,1,1,1,20240330,20240608
245066_115976,1,1,1,1,1,1,1,20240513,20240517
245066_115977,1,1,1,1,1,1,1,20240609,20241214
245066_115979,1,1,1,1,1,1,1,20240330,20240426
245066_115980,1,1,1,1,1,1,1,20240930,20241214
245066_115981,1,1,1,1,1,1,1,20240427,20240608
245066_115982,1,1,1,1,1,1,1,20240506,20240509
245066_115983,1,1,1,1,1,1,1,20240510,20240510
245066_115984,1,1,1,1,1,1,1,20240609,20240929
245066_115986,1,1,1,1,1,1,1,20240330,20240426
245066_115987,1,1,1,1,1,1,1,20240930,20241214
245066_115988,1,1,1,1,1,1,1,20240427,20240608
245066_115989,1,1,1,1,1,1,1,20240506,20240509
245066_115990,1,1,1,1,1,1,1,20240510,20240510
245066_115991,1,1,1,1,1,1,1,20240609,20240929
245067_115518,0,0,0,0,0,1,1,20240427,20240608
245067_115519,0,0,0,0,0,1,1,20240609,20240929
245067_115520,0,0,0,0,0,1,1,20240427,20240608
245067_115521,0,0,0,0,0,1,1,20240609,20240929
245067_116772,0,0,0,0,0,1,1,20240427,20240608
245067_116773,0,0,0,0,0,1,1,20240609,20240929
245067_116774,0,0,0,0,0,1,1,20240427,20240608
245067_116775,0,0,0,0,0,1,1,20240609,20240929
245068_115523,1,1,1,1,1,1,1,20240330,20240608
245068_115525,1,1,1,1,1,1,1,20240609,20241214
245068_115527,1,1,1,1,1,1,1,20240330,20240608
245068_115529,1,1,1,1,1,1,1,20240609,20241214
245068_115531,0,0,0,0,0,1,1,20240330,20240608
245068_115532,1,1,1,1,1,1,1,20240609,20241028
245068_115534,0,0,0,0,0,1,1,20240330,20240608
245068_115535,1,1,1,1,1,1,1,20240609,20241028
245068_115537,1,1,1,1,1,1,1,20240330,20240608
245068_115539,1,1,1,1,1,1,1,20240609,20241214
245068_115541,1,1,1,1,1,1,1,20240330,20240608
245068_115543,1,1,1,1,1,1,1,20240609,20241214
245068_115545,0,0,0,0,0,1,1,20240330,20240608
245068_115546,1,1,1,1,1,1,1,20240609,20241028
245068_115548,0,0,0,0,0,1,1,20240330,20240608
245068_115549,1,1,1,1,1,1,1,20240609,20241028
245068_115551,0,0,0,0,0,1,1,20240330,20240608
245068_115553,1,1,1,1,1,1,1,20240502,20240502
245068_115554,1,1,1,1,1,1,1,20240609,20241028
245068_115556,0,0,0,0,0,1,1,20240330,20240608
245068_115557,1,1,1,1,1,1,1,20240609,20241028
245068_115559,1,1,1,1,1,1,1,20240330,20240608
245068_115561,1,1,1,1,1,1,1,20240609,20241214
245068_115563,1,1,1,1,1,1,1,20240330,20240608
245068_115565,1,1,1,1,1,1,1,20240609,20241214
245068_115567,0,0,0,0,0,1,1,20240330,20240608
245068_115568,1,1,1,1,1,1,1,20240530,20240531
245068_115569,0,0,0,0,0,1,1,20240609,20241214
245068_115571,0,0,0,0,0,1,1,20240330,20240608
245068_115572,1,1,1,1,1,1,1,20240530,20240531
245068_115573,0,0,0,0,0,1,1,20240609,20241214
245068_115575,0,0,0,0,0,1,1,20240330,20240608
245068_115576,1,1,1,1,1,1,1,20240609,20241028
245068_115578,0,0,0,0,0,1,1,20240330,20240608
245068_115579,1,1,1,1,1,1,1,20240609,20241028
245068_115581,0,0,0,0,0,1,1,20240330,20240608
245068_115582,1,1,1,1,1,1,1,20240530,20240531
245068_115583,0,0,0,0,0,1,1,20240609,20241214
245068_115585,0,0,0,0,0,1,1,20240330,20240608
245068_115586,1,1,1,1,1,1,1,20240530,20240531
245068_115587,0,0,0,0,0,1,1,20240609,20241214
245068_115589,1,1,1,1,1,1,1,20240330,20240608
245068_115590,1,1,1,1,1,1,1,20240609,20241214
245068_115592,1,1,1,1,1,1,1,20240330,20240608
245068_115593,1,1,1,1,1,1,1,20240609,20241214
245068_115595,0,0,0,0,0,1,1,20240330,20240608
245068_115596,1,1,1,1,1,1,1,20240609,20241028
245068_115598,0,0,0,0,0,1,1,20240330,20240421
245068_115600,0,0,0,0,0,1,1,20240427,20240603
245068_115601,1,1,1,1,1,1,1,20240604,20240608
245068_115602,1,1,1,1,1,1,1,20240609,20241028
245069_115599,0,0,0,0,0,1,1,20240427,20240602
245070_115604,1,1,1,1,1,1,1,20240330,20241214
245070_115606,1,1,1,1,1,1,1,20240330,20241214
245070_115608,1,1,1,1,1,1,1,20240330,20240608
245070_115609,1,1,1,1,1,1,1,20240609,20241214
245070_115611,1,1,1,1,1,1,1,20240330,20241214
245070_115613,1,1,1,1,1,1,1,20240330,20241214
245070_115615,1,1,1,1,1,1,1,20240330,20241214
245070_115617,1,1,1,1,1,1,1,20240330,20240608
245070_115618,1,1,1,1,1,1,1,20240609,20241214
245070_115621,1,1,1,1,1,1,1,20240330,20240608
245070_115622,1,1,1,1,1,1,1,20240609,20241214
245070_116189,1,1,1,1,1,1,1,20240330,20240608
245070_116190,1,1,1,1,1,1,1,20240609,20241214
245070_116192,1,1,1,1,1,1,1,20240330,20241214
245070_116195,1,1,1,1,1,1,1,20240330,20241214
245070_116268,1,1,1,1,1,1,1,20240330,20240421
245070_116269,1,1,1,1,1,1,1,20240422,20240603
245070_116270,1,1,1,1,1,1,1,20240604,20240608
245070_116273,1,1,1,1,1,1,1,20240330,20240422
245070_116274,1,1,1,1,1,1,1,20240423,20240604
245070_116275,1,1,1,1,1,1,1,20240605,20240608
245070_116301,1,1,1,1,1,1,1,20240609,20241214
245070_116306,1,1,1,1,1,1,1,20240330,20240608
245070_116307,1,1,1,1,1,1,1,20240609,20241214
245070_116310,1,1,1,1,1,1,1,20240330,20241214
245070_116314,1,1,1,1,1,1,1,20240609,20241214
245070_116571,1,1,1,1,1,1,1,20240330,20241214
245070_116573,1,1,1,1,1,1,1,20240330,20240608
245070_116574,1,1,1,1,1,1,1,20240609,20241214
245070_116576,1,1,1,1,1,1,1,20240330,20240608
245070_116577,1,1,1,1,1,1,1,20240609,20241214
245070_116579,1,1,1,1,1,0,0,20240330,20240607
245070_116580,1,1,1,1,1,0,0,20240610,20241213
245070_116582,0,0,0,0,0,1,1,20240330,20240608
245070_116583,0,0,0,0,0,1,1,20240609,20241214
245070_116586,1,1,1,1,1,1,1,20240330,20241214
245070_116588,1,1,1,1,1,0,0,20240330,20240607
245070_116589,1,1,1,1,1,0,0,20240610,20241213
245070_116591,0,0,0,0,0,1,1,20240330,20240421
245070_116592,0,0,0,0,0,1,1,20240427,20240602
245070_116593,0,0,0,0,0,1,1,20240608,20241214
245070_116605,1,1,1,1,1,1,1,20240609,20241214
245070_116617,0,0,0,0,0,1,1,20240330,20241214
245070_116619,1,1,1,1,1,0,0,20240330,20241213
245070_116641,1,1,1,1,1,1,1,20240330,20240608
