trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign
22974540_236873,05:37:00,05:37:00,1474824,0,
22974540_236873,05:42:00,05:42:00,1474825,1,
22974540_236873,05:49:00,05:49:00,1474826,2,
22974540_236873,05:56:00,05:56:00,1474827,3,
22974540_236873,05:59:00,05:59:00,1474828,4,
22974540_236873,06:04:00,06:07:00,1474829,5,
22974540_236873,06:13:00,06:13:00,1474830,6,
22974540_236873,06:19:00,06:19:00,1474831,7,
22974540_236873,06:25:00,06:26:00,1474832,8,
22974540_236873,06:34:00,06:34:00,1474758,9,
22974541_236874,06:07:00,06:07:00,1474829,0,
22974541_236874,06:13:00,06:13:00,1474833,1,
22974541_236874,06:19:00,06:19:00,1474834,2,
22974541_236874,06:25:00,06:26:00,1474835,3,
22974541_236874,06:34:00,06:34:00,1474775,4,
22974542_236875,07:19:00,07:19:00,1474829,0,
22974542_236875,07:25:00,07:25:00,1474830,1,
22974542_236875,07:31:00,07:31:00,1474831,2,
22974542_236875,07:37:00,07:38:00,1474832,3,
22974542_236875,07:46:00,07:46:00,1474758,4,
22974543_236876,07:18:00,07:18:00,1474829,0,
22974543_236876,07:24:00,07:24:00,1474833,1,
22974543_236876,07:30:00,07:30:00,1474834,2,
22974543_236876,07:36:00,07:37:00,1474835,3,
22974543_236876,07:45:00,07:45:00,1474775,4,
22974544_236877,09:20:00,09:20:00,1474829,0,
22974544_236877,09:26:00,09:26:00,1474830,1,
22974544_236877,09:32:00,09:32:00,1474831,2,
22974544_236877,09:38:00,09:39:00,1474832,3,
22974544_236877,09:47:00,09:47:00,1474758,4,
22974545_236878,09:20:00,09:20:00,1474829,0,
22974545_236878,09:26:00,09:26:00,1474833,1,
22974545_236878,09:32:00,09:32:00,1474834,2,
22974545_236878,09:38:00,09:39:00,1474835,3,
22974545_236878,09:47:00,09:47:00,1474775,4,
22974546_236879,09:20:00,09:20:00,1474829,0,
22974546_236879,09:26:00,09:26:00,1474833,1,
22974546_236879,09:32:00,09:32:00,1474834,2,
22974546_236879,09:38:00,09:39:00,1474835,3,
22974546_236879,09:47:00,09:47:00,1474775,4,
22974547_236880,09:20:00,09:20:00,1474829,0,
22974547_236880,09:26:00,09:26:00,1474833,1,
22974547_236880,09:32:00,09:32:00,1474834,2,
22974547_236880,09:38:00,09:39:00,1474835,3,
22974547_236880,09:47:00,09:47:00,1474775,4,
22974548_236881,11:20:00,11:20:00,1474829,0,
22974548_236881,11:26:00,11:26:00,1474830,1,
22974548_236881,11:32:00,11:32:00,1474831,2,
22974548_236881,11:38:00,11:39:00,1474832,3,
22974548_236881,11:47:00,11:47:00,1474758,4,
22974549_236882,11:20:00,11:20:00,1474829,0,
22974549_236882,11:26:00,11:26:00,1474833,1,
22974549_236882,11:32:00,11:32:00,1474834,2,
22974549_236882,11:38:00,11:39:00,1474835,3,
22974549_236882,11:47:00,11:47:00,1474775,4,
22974550_236883,13:37:00,13:37:00,1474824,0,
22974550_236883,13:42:00,13:42:00,1474825,1,
22974550_236883,13:49:00,13:49:00,1474826,2,
22974550_236883,13:56:00,13:56:00,1474827,3,
22974550_236883,13:59:00,13:59:00,1474828,4,
22974550_236883,14:04:00,14:05:00,1474829,5,
22974550_236883,14:11:00,14:11:00,1474830,6,
22974550_236883,14:17:00,14:17:00,1474831,7,
22974550_236883,14:23:00,14:24:00,1474832,8,
22974550_236883,14:32:00,14:32:00,1474758,9,
22974551_236884,14:05:00,14:05:00,1474829,0,
22974551_236884,14:11:00,14:11:00,1474830,1,
22974551_236884,14:17:00,14:17:00,1474831,2,
22974551_236884,14:23:00,14:24:00,1474832,3,
22974551_236884,14:32:00,14:32:00,1474758,4,
22974552_236885,14:05:00,14:05:00,1474829,0,
22974552_236885,14:11:00,14:11:00,1474833,1,
22974552_236885,14:17:00,14:17:00,1474834,2,
22974552_236885,14:23:00,14:24:00,1474835,3,
22974552_236885,14:32:00,14:32:00,1474775,4,
22974553_236886,16:20:00,16:20:00,1474829,0,
22974553_236886,16:26:00,16:26:00,1474830,1,
22974553_236886,16:32:00,16:32:00,1474831,2,
22974553_236886,16:38:00,16:39:00,1474832,3,
22974553_236886,16:47:00,16:47:00,1474758,4,
22974554_236887,16:20:00,16:20:00,1474829,0,
22974554_236887,16:26:00,16:26:00,1474833,1,
22974554_236887,16:32:00,16:32:00,1474834,2,
22974554_236887,16:38:00,16:39:00,1474835,3,
22974554_236887,16:47:00,16:47:00,1474775,4,
22974555_236888,18:30:00,18:30:00,1474829,0,
22974555_236888,18:36:00,18:36:00,1474833,1,
22974555_236888,18:42:00,18:42:00,1474834,2,
22974555_236888,18:48:00,18:49:00,1474835,3,
22974555_236888,18:57:00,18:57:00,1474775,4,
22974556_236889,18:30:00,18:30:00,1474829,0,
22974556_236889,18:36:00,18:36:00,1474833,1,
22974556_236889,18:42:00,18:42:00,1474834,2,
22974556_236889,18:48:00,18:49:00,1474835,3,
22974556_236889,18:57:00,18:57:00,1474775,4,
22974557_236890,18:30:00,18:30:00,1474829,0,
22974557_236890,18:36:00,18:36:00,1474833,1,
22974557_236890,18:42:00,18:42:00,1474834,2,
22974557_236890,18:48:00,18:49:00,1474835,3,
22974557_236890,18:57:00,18:57:00,1474775,4,
22974558_236891,19:12:00,19:12:00,1475111,0,
22974558_236891,19:20:00,19:20:00,1475110,1,
22974558_236891,19:26:00,19:27:00,1475109,2,
22974558_236891,19:30:00,19:30:00,1475108,3,
22974558_236891,19:34:00,19:34:00,1474922,4,
22974558_236891,19:40:00,19:41:00,1474777,5,
22974558_236891,19:48:00,19:48:00,1474783,6,
22974558_236891,19:52:00,19:53:00,1474782,7,
22974558_236891,19:56:00,19:57:00,1475107,8,
22974558_236891,20:06:00,20:06:00,1475106,9,
22974558_236891,20:13:00,20:25:00,1474694,10,
22974558_236891,20:29:00,20:29:00,1474804,11,
22974558_236891,20:43:00,20:44:00,1474803,12,
22974558_236891,20:55:00,20:56:00,1475105,13,
22974558_236891,21:03:00,21:03:00,1474679,14,
22974559_236892,18:29:00,18:29:00,1474829,0,
22974559_236892,18:35:00,18:35:00,1474830,1,
22974559_236892,18:41:00,18:41:00,1474831,2,
22974559_236892,18:47:00,18:48:00,1474832,3,
22974559_236892,18:56:00,18:56:00,1474758,4,
22974560_236893,11:12:00,11:12:00,1475111,0,
22974560_236893,11:20:00,11:22:00,1475110,1,
22974560_236893,11:28:00,11:28:00,1475109,2,
22974560_236893,11:32:00,11:32:00,1475108,3,
22974560_236893,11:35:00,11:36:00,1474922,4,
22974560_236893,11:42:00,11:47:00,1474777,5,
22974560_236893,11:54:00,11:54:00,1474783,6,
22974560_236893,11:58:00,12:00:00,1474782,7,
22974560_236893,12:04:00,12:04:00,1475107,8,
22974560_236893,12:14:00,12:14:00,1475106,9,
22974560_236893,12:21:00,12:25:00,1474694,10,
22974560_236893,12:29:00,12:29:00,1474804,11,
22974560_236893,12:43:00,12:44:00,1474803,12,
22974560_236893,12:55:00,12:56:00,1475105,13,
22974560_236893,13:03:00,13:03:00,1474679,14,
22974561_236894,06:35:00,06:35:00,1474588,0,
22974561_236894,06:38:00,06:38:00,1474589,1,
22974561_236894,06:41:00,06:41:00,1474590,2,
22974561_236894,06:42:00,06:42:00,1474591,3,
22974561_236894,06:45:00,06:45:00,1474592,4,
22974561_236894,06:50:00,06:50:00,1474593,5,
22974561_236894,06:55:00,06:56:00,1474594,6,
22974561_236894,06:58:00,06:58:00,1474595,7,
22974561_236894,06:59:00,06:59:00,1474596,8,
22974561_236894,07:00:00,07:00:00,1474597,9,
22974561_236894,07:02:00,07:02:00,1474598,10,
22974561_236894,07:06:00,07:06:00,1474599,11,
22974561_236894,07:11:00,07:12:00,1474600,12,
22974561_236894,07:13:00,07:13:00,1474601,13,
22974561_236894,07:14:00,07:14:00,1474602,14,
22974561_236894,07:17:00,07:17:00,1474603,15,
22974561_236894,07:20:00,07:20:00,1474604,16,
22974561_236894,07:25:00,07:30:00,1474605,17,
22974561_236894,07:34:00,07:34:00,1474606,18,
22974561_236894,07:36:00,07:36:00,1474607,19,
22974561_236894,07:38:00,07:38:00,1474608,20,
22974561_236894,07:40:00,07:40:00,1474609,21,
