ticketing_stop_id,stop_id,agency_id
9429,1413064,279
9429,1474632,279
6021,1413065,279
6021,1475207,279
6021,1474849,279
6022,1413066,279
6022,1474848,279
6022,1474644,279
6023,1413067,279
6023,1474765,279
6023,1474813,279
6025,1413068,279
6025,1474942,279
9430,1413069,279
9430,1474626,279
9381,1413072,279
9381,1474828,279
6029,1413073,279
6029,1474840,279
6029,1475063,279
6031,1413074,279
6031,1474853,279
6031,1703011,279
6032,1413075,279
6032,1474682,279
6032,1474654,279
6032,1474698,279
7585,1413076,279
7585,1474686,279
7580,1413077,279
7580,1474687,279
6035,1413078,279
6035,1474773,279
9431,1413079,279
9431,1474629,279
6040,1413080,279
6040,1474831,279
6040,1474834,279
6044,1413081,279
6044,1474820,279
6044,1474776,279
6044,1474759,279
6620,1413082,279
6620,1475108,279
6045,1413083,279
6045,1474916,279
6045,1474922,279
6045,1475153,279
6046,1413084,279
6046,1474923,279
6046,1474917,279
6046,1475152,279
7044,1413085,279
7044,1475246,279
6047,1413086,279
6047,1474693,279
6047,1474696,279
6047,1474690,279
10,1413087,279
10,1475112,279
10,1609727,279
10,1474945,279
6049,1413088,279
6049,1475195,279
6049,1474855,279
6052,1413089,279
6052,1475086,279
6052,1609774,279
6052,1475211,279
6722,1807626,279
6722,1874619,279
6721,1807627,279
6721,1874618,279
9432,1413090,279
9432,1474623,279
6549,1413091,279
6549,1474982,279
6549,1474712,279
12,1413092,279
12,1536298,279
12,1474786,279
6058,1413093,279
6058,1536308,279
6058,1475079,279
6058,1475242,279
6060,1413094,279
6060,1536295,279
6060,1475067,279
6060,1474789,279
6064,1413095,279
6064,1536317,279
6064,1475098,279
6614,1413096,279
6614,1474797,279
6614,1474805,279
6615,1413097,279
6615,1474806,279
6615,1474798,279
6070,1413098,279
6070,1474880,279
6069,1413099,279
6069,1474879,279
6069,1474884,279
7069,1413100,279
7069,1475057,279
6071,1413101,279
6071,1536304,279
6071,1475074,279
6071,1475186,279
6074,1413102,279
6074,1763296,279
6074,1474842,279
902,1413103,279
902,1475062,279
902,1474839,279
902,1474946,279
6076,1413104,279
6076,1475016,279
6076,1474959,279
6573,1413105,279
6573,1609778,279
6573,1475176,279
6082,1413106,279
6082,1474919,279
6082,1475155,279
6083,1413108,279
6083,1474981,279
7088,1413107,279
7088,1475095,279
7088,1609776,279
6086,1413110,279
6086,1475080,279
6086,1475241,279
6086,1536309,279
6087,1413111,279
6087,1536296,279
6087,1475068,279
6087,1474788,279
6089,1413112,279
6089,1475220,279
6089,1474906,279
9433,1413113,279
9433,1474628,279
9316,1413114,279
9316,1474606,279
9313,1413115,279
9313,1474609,279
9315,1413116,279
9315,1474607,279
6097,1413117,279
6097,1475212,279
6097,1475224,279
6097,1475085,279
6099,1413118,279
6099,1474878,279
6102,1413119,279
6102,1475225,279
6102,1475089,279
6102,1475216,279
6104,1413120,279
6104,1475173,279
6104,1609781,279
6104,1475178,279
9314,1413121,279
9314,1474608,279
6106,1413122,279
6106,1474662,279
6106,1474655,279
6107,1413123,279
6107,1474887,279
6107,1474877,279
9420,1413124,279
9420,1474639,279
9434,1413125,279
9434,1474636,279
9436,1413127,279
9436,1474635,279
9435,1413126,279
9435,1474638,279
9437,1413128,279
9437,1474637,279
35,1413129,279
35,1474649,279
35,1874612,279
36,1413130,279
36,1475231,279
36,1474685,279
9423,1413131,279
9423,1475038,279
6113,1413132,279
6113,1609760,279
6113,1475198,279
6113,1474872,279
9438,1413133,279
9438,1474619,279
6115,1413134,279
6115,1475138,279
6116,1413135,279
