route_id,service_id,trip_id,trip_headsign,wheelchair_accessible
145576,288804_236873,22974540_236873,Sędzisław,0
145576,288804_236874,22974541_236874,Sędzisław,0
145576,288804_236875,22974542_236875,Sędzisław,0
145576,288804_236876,22974543_236876,Sędzisław,0
145576,288804_236877,22974544_236877,Sędzisław,0
145576,288804_236878,22974545_236878,Sędzisław,0
145576,288804_236879,22974546_236879,Sędzisław,0
145576,288804_236880,22974547_236880,Sędzisław,0
145576,288804_236881,22974548_236881,Sędzisław,0
145576,288804_236882,22974549_236882,Sędzisław,0
145576,288804_236883,22974550_236883,Sędzisław,0
145576,288804_236885,22974552_236885,Sędzisław,0
145576,288804_236886,22974553_236886,Sędzisław,0
145576,288804_236887,22974554_236887,Sędzisław,0
145576,288804_236888,22974555_236888,Sędzisław,0
145576,288804_236889,22974556_236889,Sędzisław,0
145576,288804_236890,22974557_236890,Sędzisław,0
145577,288805_236891,22974558_236891,Wrocław Główny,0
145576,288804_236892,22974559_236892,Sędzisław,0
145577,288805_236893,22974560_236893,Wrocław Główny,0
145578,288806_236894,22974561_236894,Szklarska Poręba Górna,0
145578,288806_236895,22974562_236895,Szklarska Poręba Górna,0
145578,288806_236896,22974563_236896,Liberec,0
145578,288806_236897,22974564_236897,Harrachov,0
145578,288806_236898,22974565_236898,Szklarska Poręba Górna,0
145578,288806_236899,22974566_236899,Szklarska Poręba Górna,0
145578,288806_236900,22974567_236900,Liberec,0
145578,288806_236901,22974568_236901,Harrachov,0
145578,288806_236902,22974569_236902,Szklarska Poręba Górna,0
145578,288806_236903,22974570_236903,Szklarska Poręba Górna,0
145578,288806_236904,22974571_236904,Liberec,0
145578,288806_236905,22974572_236905,Harrachov,0
145578,288806_236906,22974573_236906,Szklarska Poręba Górna,0
145578,288806_236907,22974574_236907,Szklarska Poręba Górna,0
145578,288806_236908,22974575_236908,Liberec,0
145578,288806_236909,22974576_236909,Harrachov,0
145578,288806_236910,22974577_236910,Szklarska Poręba Górna,0
145578,288806_236911,22974578_236911,Szklarska Poręba Górna,0
145578,288806_236912,22974579_236912,Liberec,0
145578,288806_236913,22974580_236913,Harrachov,0
145578,288806_236914,22974581_236914,Szklarska Poręba Górna,0
145578,288806_236915,22974582_236915,Szklarska Poręba Górna,0
145578,288806_236916,22974583_236916,Liberec,0
145578,288806_236917,22974584_236917,Harrachov,0
145578,288806_236918,22974585_236918,Szklarska Poręba Górna,0
145578,288806_236919,22974586_236919,Szklarska Poręba Górna,0
145578,288806_236920,22974587_236920,Liberec,0
145578,288806_236921,22974588_236921,Harrachov,0
145578,288806_236922,22974589_236922,Szklarska Poręba Górna,0
145578,288806_236923,22974590_236923,Szklarska Poręba Górna,0
145578,288806_236924,22974591_236924,Liberec,0
145578,288806_236925,22974592_236925,Harrachov,0
145578,288806_236926,22974593_236926,Szklarska Poręba Górna,0
145578,288806_236927,22974594_236927,Szklarska Poręba Górna,0
145578,288806_236928,22974595_236928,Liberec,0
145578,288806_236929,22974596_236929,Harrachov,0
145578,288806_236930,22974597_236930,Szklarska Poręba Górna,0
145578,288806_236931,22974598_236931,Szklarska Poręba Górna,0
145578,288806_236932,22974599_236932,Liberec,0
145578,288806_236933,22974600_236933,Harrachov,0
145578,288806_236934,22974601_236934,Szklarska Poręba Górna,0
